nome;t;vt
P2;192;[(1,3),(4,6),(5,7)]
P5;287;[(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,10)]
P7;120;[(1,2),(2,3),(4,5),(5,10),(14,15),(13,20),(24,25),(29,30),(50,50)]
P10;1240;[(1,2),(2,3),(3,5),(7,10),(10,15),(13,20),(24,25),(29,30),(50,50)]
P12;104;[(25,26),(29,30),(49,50)]
P13;138;[(1,3),(4,6),(5,7),(3,4), (2,6), (2,3), (6,8)]
P15;13890;[(1,3),(4,6),(5,7),(3,4), (2,6), (2,3), (6,8), (1,2), (2,3), (3,5), (7,10), (10,15), (13,20), (24,25), (29,30), (50,50)]
P16;13890;[(1,3),(4,6),(5,7),(3,4), (2,6), (2,3), (6,8), (1,2),(3,5),(7,10),(10,15),(13,20),(24,25),(29,37)]
P18;190000;[(1,3),(4,6),(5,7)]
P19;4567;[(1,3),(4,6),(5,7),(3,4),(2,6),(1,2),(3,5),(7,10),(10,15),(13,20),(15,20)]
