nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P2;30;0.95;0.3;0.09616589546203613;[7, 6, 3];46;78
P5;30;0.95;0.3;0.14749479293823242;[3, 9, 7, 6, 5, 5, 3, 4, 3];201;246
P7;30;0.95;0.3;0.16187310218811035;[1, 1, 2, 0, 0, 0, 1, 1, 1];114;120
P10;30;0.95;0.3;0.14934229850769043;[52, 40, 23, 6, 9, 5, 5, 4, 3];784;1029
P12;30;0.95;0.3;0.10011744499206543;[2, 0, 1];99;102
P13;30;0.95;0.3;0.1302332878112793;[2, 3, 2, 4, 3, 5, 2];64;103
P15;30;0.95;0.3;0.2314298152923584;[9, 124, 191, 86, 19, 283, 174, 157, 459, 81, 62, 83, 70, 38, 33, 27];10077;13458
P16;30;0.95;0.3;0.20786094665527344;[0, 125, 170, 0, 184, 461, 152, 653, 234, 66, 79, 58, 51, 38];9239;13805
P18;30;0.95;0.3;0.09853649139404297;[6232, 3137, 2577];31665;55557
P19;30;0.95;0.3;0.17404484748840332;[125, 71, 54, 86, 9, 217, 81, 43, 20, 15, 21];2426;3866
