nome;iteracoes;m;tempo;estado;valor;tamanho
P2;50;2;0.02386951446533203;[0, 4, 24];136;192
P5;50;2;0.06385397911071777;[0, 0, 0, 0, 1, 0, 0, 9, 20];257;287
P7;50;2;0.008927345275878906;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P10;50;2;0.06178998947143555;[0, 0, 0, 0, 0, 0, 0, 3, 23];1237;1240
P12;50;2;0.0027964115142822266;[0, 0, 2];98;100
P13;50;2;0.02988290786743164;[0, 0, 2, 1, 0, 0, 15];103;138
P15;50;2;1.53782057762146;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 234];13817;13890
P16;50;2;1.6539967060089111;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 129, 288];11454;13889
P18;50;2;23.979782104492188;[1, 7131, 21030];133675;189999
P19;50;2;0.6740508079528809;[0, 0, 1, 0, 0, 0, 0, 0, 0, 48, 180];3329;4567
