nome;to;alpha;iteracoes;tempo;estado;valor;tamanho
P2;500.0;0.95;350;0.5092830657958984;[1, 0, 27];136;192
P5;500.0;0.95;350;0.9151105880737305;[6, 2, 3, 3, 3, 2, 18, 4, 3];243;287
P7;500.0;0.95;350;0.7620022296905518;[1, 1, 2, 0, 2, 0, 1, 0, 1];113;120
P10;500.0;0.95;350;0.8666956424713135;[7, 5, 4, 5, 3, 0, 15, 4, 12];1170;1239
P12;500.0;0.95;350;0.4356551170349121;[4, 0, 0];100;104
P13;500.0;0.95;350;0.7029688358306885;[0, 2, 1, 9, 0, 1, 10];102;138
P15;500.0;0.95;350;1.3125922679901123;[28, 56, 16, 25, 85, 163, 68, 103, 56, 38, 25, 23, 70, 50, 9, 37];6266;8104
P16;500.0;0.95;350;1.1971001625061035;[27, 47, 1, 23, 9, 64, 70, 105, 108, 103, 30, 53, 46, 10];4388;6078
P18;500.0;0.95;350;0.5394227504730225;[181, 151, 130];1435;2359
P19;500.0;0.95;350;1.0233545303344727;[58, 29, 4, 19, 15, 78, 22, 60, 30, 74, 61];3022;4558
