nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P1;10;0.75;0.1;0.018952369689941406;[1, 1, 1];10;16
P3;10;0.75;0.1;0.020368337631225586;[2, 2, 1, 2];21;33
P4;10;0.75;0.1;0.027902841567993164;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.75;0.1;0.03182840347290039;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;10;0.75;0.1;0.032874345779418945;[2, 1, 1, 0, 0, 0, 1, 1, 1];111;117
P9;10;0.75;0.1;0.0322873592376709;[2, 0, 0, 1, 0, 0, 1, 1, 1];112;119
P11;10;0.75;0.1;0.018894195556640625;[0, 2, 1];108;110
P14;10;0.75;0.1;0.07447409629821777;[0, 0, 1, 4, 0, 3, 2, 4, 2, 0, 0, 0, 0, 1, 0, 1];117;137
P17;10;0.75;0.1;0.03990316390991211;[170269, 166264, 114707, 248856, 774, 230274, 173381, 491453, 268141, 131031, 80003, 38783, 51604, 18077];8937841;12957853
P20;10;0.75;0.1;0.033568620681762695;[1357131, 686094, 462541, 982682, 733014, 1866753, 758507, 402258, 109623, 91146, 215259];23296379;39075622
P1;10;0.75;0.2;0.017912864685058594;[0, 2, 1];13;19
P3;10;0.75;0.2;0.0192568302154541;[0, 1, 2, 2];20;28
P4;10;0.75;0.2;0.026315689086914062;[2, 0, 1, 2, 1, 1, 2, 1];37;58
P6;10;0.75;0.2;0.027862548828125;[0, 1, 1, 2, 1, 0, 2, 1, 6];47;56
P8;10;0.75;0.2;0.032088279724121094;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;10;0.75;0.2;0.03356766700744629;[0, 1, 0, 1, 0, 0, 1, 1, 1];112;118
P11;10;0.75;0.2;0.0180206298828125;[0, 2, 1];108;110
P14;10;0.75;0.2;0.07853245735168457;[4, 1, 0, 0, 0, 0, 2, 2, 0, 1, 0, 1, 0, 0, 1, 1];114;138
P17;10;0.75;0.2;0.04731011390686035;[37179, 211875, 12450, 253998, 94862, 435817, 91178, 509111, 179533, 118381, 52863, 61090, 54901, 35116];8852514;12878235
P20;10;0.75;0.2;0.03727412223815918;[1452861, 706881, 401888, 473431, 740868, 1451051, 692470, 434150, 247722, 213821, 183372];23766838;40117659
P1;10;0.75;0.3;0.019823789596557617;[0, 2, 1];13;19
P3;10;0.75;0.3;0.023003339767456055;[2, 3, 1, 2];25;39
P4;10;0.75;0.3;0.0272371768951416;[1, 1, 1, 2, 1, 1, 1, 1];37;56
P6;10;0.75;0.3;0.028101682662963867;[0, 1, 1, 1, 1, 1, 1, 1, 6];45;55
P8;10;0.75;0.3;0.03299546241760254;[1, 4, 2, 0, 1, 0, 0, 1, 1];110;119
P9;10;0.75;0.3;0.03251147270202637;[0, 0, 2, 1, 0, 0, 0, 0, 2];113;120
P11;10;0.75;0.3;0.018157005310058594;[0, 2, 1];108;110
P14;10;0.75;0.3;0.07729077339172363;[1, 0, 0, 2, 0, 2, 2, 2, 3, 0, 1, 0, 0, 0, 1, 1];117;136
