nome;to;alpha;iteracoes;tempo;estado;valor;tamanho
P1;500;0.95;350;0.46614718437194824;[0, 2, 1];13;19
P3;500;0.95;350;0.5433139801025391;[0, 0, 2, 11];43;58
P4;500;0.95;350;0.6960127353668213;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;500;0.95;350;0.7344300746917725;[0, 0, 2, 3, 0, 0, 0, 1, 23];71;58
P8;500;0.95;350;0.7133669853210449;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;500;0.95;350;0.7212026119232178;[0, 0, 2, 0, 0, 0, 0, 2, 1];114;120
P11;500;0.95;350;0.4491889476776123;[0, 4, 0];116;120
P14;500;0.95;350;1.0331051349639893;[0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1];125;138
P17;500;0.95;350;1.2074930667877197;[23, 129, 3, 54, 74, 72, 60, 65, 123, 60, 159, 21, 47, 79];7504;10468
P20;500;0.95;350;1.0707485675811768;[18, 21, 10, 22, 32, 65, 15, 62, 48, 171, 77];4684;7035
P1;500;0.95;500;0.6948120594024658;[0, 2, 1];13;19
P3;500;0.95;500;0.7846972942352295;[0, 0, 2, 11];43;58
P4;500;0.95;500;0.9596004486083984;[0, 3, 0, 0, 4, 0, 0, 0];44;58
P6;500;0.95;500;1.0330829620361328;[0, 1, 0, 1, 0, 0, 0, 1, 39];91;58
P8;500;0.95;500;1.011643648147583;[0, 0, 1, 0, 1, 0, 2, 0, 1];116;120
P9;500;0.95;500;1.016247272491455;[1, 1, 0, 0, 1, 0, 0, 0, 2];113;120
P11;500;0.95;500;0.6410081386566162;[0, 4, 0];116;120
P14;500;0.95;500;1.472177267074585;[1, 1, 0, 2, 0, 5, 1, 0, 1, 2, 0, 0, 0, 1, 2, 0];117;138
P17;500;0.95;500;1.725106954574585;[135, 167, 9, 77, 55, 2, 7, 113, 72, 14, 55, 33, 70, 113];7598;10312
P20;500;0.95;500;1.4617726802825928;[43, 5, 89, 48, 87, 1, 102, 62, 95, 105, 19];4167;6533
P1;500;0.85;350;0.14441967010498047;[0, 2, 1];13;19
P3;500;0.85;350;0.175459623336792;[0, 1, 0, 13];43;58
P4;500;0.85;350;0.21375083923339844;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;500;0.85;350;0.23066473007202148;[0, 2, 2, 0, 0, 0, 0, 0, 32];82;58
P8;500;0.85;350;0.22577476501464844;[0, 0, 4, 0, 5, 0, 1, 0, 0];110;120
P9;500;0.85;350;0.22875499725341797;[2, 2, 0, 0, 0, 0, 0, 2, 1];114;120
P11;500;0.85;350;0.1429901123046875;[0, 4, 0];116;120
P14;500;0.85;350;0.3304893970489502;[0, 4, 1, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1];117;138
P17;500;0.85;350;0.3779618740081787;[3, 13, 6, 21, 34, 24, 60, 10, 19, 76, 14, 42, 18, 58];4023;5490
P20;500;0.85;350;0.3199794292449951;[71, 16, 0, 17, 29, 17, 22, 73, 6, 60, 26];2068;3235
P1;500;0.85;500;0.20591282844543457;[0, 2, 1];13;19
P3;500;0.85;500;0.2463397979736328;[0, 0, 2, 11];43;58
P4;500;0.85;500;0.3042600154876709;[0, 1, 1, 0, 4, 0, 1, 0];44;58
P6;500;0.85;500;0.3250560760498047;[0, 0, 0, 0, 0, 0, 1, 0, 52];107;57
P8;500;0.85;500;0.32335782051086426;[0, 0, 3, 0, 2, 0, 1, 0, 1];114;120
P9;500;0.85;500;0.3167095184326172;[0, 3, 1, 0, 0, 0, 1, 1, 1];112;119
P11;500;0.85;500;0.20299649238586426;[0, 4, 0];116;120
P14;500;0.85;500;0.46735262870788574;[0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0];118;138
P17;500;0.85;500;0.5452439785003662;[27, 94, 34, 29, 18, 11, 18, 49, 20, 18, 79, 22, 90, 8];4529;5833
P20;500;0.85;500;0.4562399387359619;[14, 19, 6, 40, 78, 65, 71, 78, 3, 45, 31];2300;3656
P1;500;0.7;350;0.06531167030334473;[0, 2, 1];13;19
P3;500;0.7;350;0.07735157012939453;[0, 1, 0, 13];43;58
P4;500;0.7;350;0.09623837471008301;[0, 0, 1, 8, 1, 0, 0, 1];43;58
P6;500;0.7;350;0.10467076301574707;[2, 2, 0, 3, 0, 0, 0, 1, 18];61;57
