nome;m;tempo;estado;valor;tamanho
P2;10;0.004373311996459961;[1, 0, 27];136;192
P5;10;0.010598182678222656;[0, 0, 0, 0, 0, 1, 0, 0, 28];258;287
P7;10;0.0014843940734863281;[1, 1, 0, 0, 1, 0, 0, 0, 2];117;120
P10;10;0.009397029876708984;[0, 0, 0, 1, 0, 0, 0, 1, 24];1236;1240
P12;10;0.0003209114074707031;[2, 0, 1];99;102
P13;10;0.004880189895629883;[0, 0, 1, 0, 0, 1, 16];103;138
P15;10;0.22041678428649902;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 277];13886;13890
P16;10;0.2457430362701416;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 374];10895;13890
P18;10;4.140797853469849;[0, 1, 27142];135714;190000
P19;10;0.10801863670349121;[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 228];3424;4567
