nome;tempo;estado;valor;tamanho
P2;0.00036644935607910156;[1, 0, 27];136;192
P5;0.0009627342224121094;[0, 0, 0, 0, 0, 1, 0, 0, 28];258;287
P7;0.00014400482177734375;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P10;0.0008721351623535156;[0, 0, 0, 1, 0, 0, 0, 1, 24];1236;1240
P12;3.218650817871094e-05;[0, 0, 2];98;100
P13;0.0004208087921142578;[0, 0, 0, 0, 0, 0, 17];102;136
P15;0.02072286605834961;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 277];13886;13890
P16;0.021465778350830078;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 375];10885;13890
P18;0.25730419158935547;[0, 1, 27142];135714;190000
P19;0.009026527404785156;[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 228];3425;4567
