nome;m;tempo;estado;valor;tamanho
P1;10;0.0004630088806152344;[2, 1, 1];11;19
P3;10;0.0019752979278564453;[0, 0, 7, 2];41;57
P4;10;0.00196075439453125;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;10;0.002532958984375;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;10;0.0016245841979980469;[1, 1, 0, 0, 1, 0, 0, 0, 2];117;120
P9;10;0.0015020370483398438;[1, 1, 0, 0, 1, 0, 0, 0, 2];113;120
P11;10;0.00035572052001953125;[0, 2, 1];108;110
P14;10;0.0034537315368652344;[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2];134;138
P17;10;120.00039935112;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170909];4956361;6323633
P20;10;120.00045394897461;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242188];3632820;4843760
P1;25;0.0009658336639404297;[4, 0, 1];9;19
P3;25;0.003443479537963867;[0, 0, 7, 2];41;57
P4;25;0.004181861877441406;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;25;0.005320072174072266;[0, 1, 0, 0, 5, 0, 0, 0, 2];48;58
P8;25;0.003087759017944336;[1, 1, 0, 0, 1, 0, 0, 0, 2];117;120
P9;25;0.0029993057250976562;[1, 1, 0, 0, 1, 0, 0, 0, 2];113;120
P11;25;0.0006504058837890625;[0, 4, 0];116;120
P14;25;0.007776021957397461;[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;25;120.00076270103455;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74307];2154903;2749359
P20;25;120.00052905082703;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99267];1489005;1985340
P1;50;0.0010008811950683594;[6, 0, 0];6;18
P3;50;0.006178617477416992;[0, 0, 7, 2];41;57
P4;50;0.007842779159545898;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;50;0.010641098022460938;[0, 0, 0, 1, 5, 0, 0, 0, 4];51;58
P8;50;0.0062999725341796875;[1, 1, 1, 0, 0, 0, 0, 2, 1];115;120
P9;50;0.0059926509857177734;[1, 1, 1, 0, 0, 0, 0, 2, 1];114;120
P11;50;0.00066375732421875;[0, 4, 0];116;120
P14;50;0.013948202133178711;[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;120.00285768508911;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36575];1060675;1353275
P20;50;120.00226187705994;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51558];773370;1031160
P1;100;0.0009849071502685547;[6, 0, 0];6;18
P3;100;0.010870695114135742;[0, 0, 7, 2];41;57
P4;100;0.015625953674316406;[0, 0, 0, 2, 5, 0, 0, 0];46;58
P6;100;0.022980213165283203;[0, 0, 0, 0, 5, 0, 0, 0, 8];56;58
P8;100;0.013453960418701172;[1, 1, 1, 0, 0, 0, 0, 2, 1];115;120
P9;100;0.013244152069091797;[2, 2, 0, 0, 0, 0, 0, 2, 1];114;120
P11;100;0.0006291866302490234;[0, 4, 0];116;120
P14;100;0.026649951934814453;[0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2];134;138
P17;100;120.00465416908264;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18118];525422;670366
P20;100;120.0027961730957;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25129];376935;502580
