nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P1;10;0.75;0.1;0.019747495651245117;[0, 2, 1];13;19
P3;10;0.75;0.1;0.020112276077270508;[0, 1, 2, 2];20;28
P4;10;0.75;0.1;0.02854633331298828;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.75;0.1;0.028887271881103516;[1, 1, 1, 1, 1, 1, 1, 1, 6];46;58
P8;10;0.75;0.1;0.03314995765686035;[0, 1, 2, 0, 0, 0, 1, 1, 1];113;118
P9;10;0.75;0.1;0.033684730529785156;[1, 1, 0, 1, 0, 0, 1, 1, 1];113;120
P11;10;0.75;0.1;0.01824808120727539;[1, 1, 1];103;105
P14;10;0.75;0.1;0.07635498046875;[0, 1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 0, 0, 0, 1, 1];115;136
P17;10;0.75;0.1;0.040627241134643555;[406988, 174703, 173230, 330023, 23087, 362918, 163435, 649753, 61872, 92081, 85475, 69033, 36796, 5476];8988662;13651613
P20;10;0.75;0.1;0.03491401672363281;[562414, 276381, 638815, 1119582, 335508, 2023024, 604013, 188388, 295042, 203105, 219637];22930894;36139072
P1;10;0.75;0.2;0.018197059631347656;[0, 2, 1];13;19
P3;10;0.75;0.2;0.019761323928833008;[2, 2, 1, 2];21;33
P4;10;0.75;0.2;0.027318954467773438;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.75;0.2;0.029242992401123047;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;10;0.75;0.2;0.03386735916137695;[0, 2, 1, 0, 0, 0, 1, 1, 1];111;116
P9;10;0.75;0.2;0.03377175331115723;[0, 0, 0, 0, 1, 0, 1, 1, 1];113;120
P11;10;0.75;0.2;0.01838517189025879;[0, 2, 1];108;110
P14;10;0.75;0.2;0.07653498649597168;[0, 0, 0, 0, 0, 2, 1, 7, 1, 2, 0, 1, 0, 0, 1, 1];114;136
P17;10;0.75;0.2;0.040792226791381836;[368424, 223088, 192013, 55088, 219787, 451635, 77655, 326713, 101706, 128040, 45402, 41469, 45511, 36719];8873222;13752254
