nome;t;vt
P1;19;[(1,3),(4,6),(5,7)]
P3;58;[(1,3),(4,6),(5,7),(3,4)]
P4;58;[(1,3),(4,6),(5,7),(3,4),(8,10),(4,8),(3,5),(6,9)]
P6;58;[(1,3),(4,6),(5,7),(3,4),(8,10),(4,8),(3,5),(6,9),(2,1)]
P8;120;[(1,2),(2,3),(4,5),(5,10),(14,15),(15,20),(24,25),(29,30),(50,50)]
P9;120;[(1,2),(2,3),(3,5),(7,10),(10,15),(13,20),(24,25),(29,30),(50,50)]
P11;120;[(24,25),(29,30),(50,50)]
P14;138;[(1,3),(4,6),(5,7),(3,4), (2,6), (2,3), (6,8), (1,2), (2,3), (3,5), (7,10), (10,15), (13,20), (24,25), (29,30), (50,50)]
P17;13890000;[(1,3),(4,6),(5,7),(3,4), (2,6), (2,3), (6,8), (1,2),(3,5),(7,10),(10,15),(13,20),(24,25),(29,37)]
P20;45678901;[(1,3),(4,6),(5,7),(3,4),(2,6),(1,2),(3,5),(7,10),(10,15),(13,20),(15,20)]
