nome;iteracoes;m;tempo;estado;valor;tamanho
P1;50;2;0.003447294235229492;[0, 2, 1];13;19
P3;50;2;0.009472370147705078;[0, 2, 6, 1];41;58
P4;50;2;0.012544631958007812;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;50;2;0.015253543853759766;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;50;2;0.008736848831176758;[0, 0, 0, 0, 0, 1, 0, 0, 2];115;120
P9;50;2;0.008551836013793945;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;50;2;0.002981424331665039;[0, 2, 1];108;110
P14;50;2;0.020207643508911133;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;2;120.0000102519989;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112613, 299315];11382860;13890000
P20;50;2;120.00000762939453;[1, 0, 0, 0, 0, 0, 0, 0, 0, 571397, 1593520];31330962;43298343
P1;50;5;0.003422975540161133;[0, 2, 1];13;19
P3;50;5;0.011843681335449219;[0, 0, 7, 2];41;57
P4;50;5;0.015253305435180664;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;50;5;0.017714977264404297;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;50;5;0.010316848754882812;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;50;5;0.010015249252319336;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;50;5;0.0036077499389648438;[1, 3, 0];111;115
P14;50;5;0.024815797805786133;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;5;120.0000102519989;[0, 0, 0, 0, 0, 0, 0, 0, 0, 65168, 65034, 64842, 65035, 252435];10830917;13890000
P20;50;5;120.00000834465027;[1, 0, 317280, 0, 0, 0, 0, 317061, 317551, 317789, 457878];17980765;25668178
P1;50;10;0.0034329891204833984;[0, 2, 1];13;19
P3;50;10;0.011858701705932617;[0, 2, 6, 1];41;58
P4;50;10;0.019033432006835938;[0, 0, 2, 1, 4, 0, 0, 0];45;58
P6;50;10;0.023396730422973633;[0, 2, 0, 2, 3, 0, 1, 0, 3];47;58
